Date,S&P 500,% of S&P 500 members in a bear market
1/4/1993,435.38,0.15
1/5/1993,434.34,0.15
1/6/1993,434.52,0.15
1/7/1993,430.73,0.16
1/8/1993,429.05,0.15
1/11/1993,430.95,0.15
1/12/1993,431.04,0.16
1/13/1993,433.03,0.16
1/14/1993,435.94,0.15
1/15/1993,437.15,0.15
1/18/1993,436.84,0.14
1/19/1993,435.13,0.15
1/20/1993,433.37,0.14
1/21/1993,435.49,0.14
1/22/1993,436.11,0.13
1/25/1993,440.01,0.12
1/26/1993,439.95,0.13
1/27/1993,438.11,0.13
1/28/1993,438.66,0.13
1/29/1993,438.78,0.13
2/1/1993,442.52,0.13
2/2/1993,442.55,0.14
2/3/1993,447.2,0.12
2/4/1993,449.56,0.13
2/5/1993,448.93,0.13
2/8/1993,447.85,0.13
2/9/1993,445.33,0.13
2/10/1993,446.23,0.14
2/11/1993,447.66,0.14
2/12/1993,444.58,0.14
2/16/1993,433.91,0.16
2/17/1993,433.3,0.17
2/18/1993,431.9,0.17
2/19/1993,434.22,0.18
2/22/1993,435.24,0.2
2/23/1993,434.8,0.21
2/24/1993,440.87,0.17
2/25/1993,442.34,0.16
2/26/1993,443.38,0.17
3/1/1993,442.01,0.17
3/2/1993,447.9,0.16
3/3/1993,449.26,0.15
3/4/1993,447.34,0.15
3/5/1993,446.11,0.15
3/8/1993,454.71,0.14
3/9/1993,454.4,0.14
3/10/1993,456.33,0.13
3/11/1993,453.72,0.14
3/12/1993,449.83,0.15
3/15/1993,451.43,0.13
3/16/1993,451.37,0.14
3/17/1993,448.31,0.15
3/18/1993,451.89,0.15
3/19/1993,450.18,0.16
3/22/1993,448.88,0.17
3/23/1993,448.76,0.16
3/24/1993,448.07,0.18
3/25/1993,450.88,0.15
3/26/1993,447.78,0.15
3/29/1993,450.77,0.16
3/30/1993,451.97,0.14
3/31/1993,451.67,0.15
4/1/1993,450.3,0.15
4/2/1993,441.39,0.18
4/5/1993,442.29,0.17
4/6/1993,441.16,0.2
4/7/1993,442.73,0.19
4/8/1993,441.84,0.2
4/12/1993,448.37,0.18
4/13/1993,449.22,0.19
4/14/1993,448.66,0.19
4/15/1993,448.4,0.19
4/16/1993,448.94,0.2
4/19/1993,447.46,0.2
4/20/1993,445.1,0.2
4/21/1993,443.63,0.2
4/22/1993,439.46,0.19
4/23/1993,437.03,0.2
4/26/1993,433.54,0.22
4/27/1993,438.01,0.19
4/28/1993,438.02,0.19
4/29/1993,438.89,0.2
4/30/1993,440.19,0.18
5/3/1993,442.46,0.17
5/4/1993,444.05,0.15
5/5/1993,444.52,0.15
5/6/1993,443.26,0.15
5/7/1993,442.31,0.16
5/10/1993,442.8,0.17
5/11/1993,444.36,0.16
5/12/1993,444.8,0.15
5/13/1993,439.23,0.18
5/14/1993,439.56,0.16
5/17/1993,440.37,0.17
5/18/1993,440.32,0.16
5/19/1993,447.57,0.15
5/20/1993,450.59,0.13
5/21/1993,445.84,0.15
5/24/1993,448,0.15
5/25/1993,448.85,0.14
5/26/1993,453.44,0.13
5/27/1993,452.41,0.13
5/28/1993,450.19,0.14
6/1/1993,453.83,0.13
6/2/1993,453.85,0.14
6/3/1993,452.49,0.14
6/4/1993,450.06,0.15
6/7/1993,447.69,0.18
6/8/1993,444.71,0.18
6/9/1993,445.78,0.19
6/10/1993,445.38,0.18
6/11/1993,447.26,0.18
6/14/1993,447.71,0.17
6/15/1993,446.27,0.18
6/16/1993,447.43,0.19
6/17/1993,448.54,0.18
6/18/1993,443.68,0.2
6/21/1993,446.22,0.19
6/22/1993,445.93,0.19
6/23/1993,443.19,0.19
